subject;file;emotion
S001;001;1
S001;002;1
S001;005;2
S001;006;2
S001;007;3
S001;008;3
S001;009;4
S001;010;4
S001;015;5
S001;016;5
S001;017;6
S001;018;6
S002;001;1
S002;002;1
S002;005;2
S002;006;2
S002;007;3
S002;009;4
S002;010;4
S002;015;5
S002;016;5
S002;019;6
S002;020;6
S003;001;3
S003;003;4
S003;005;6
S004;001;2
S004;002;4
S004;005;6
S005;001;1
S006;001;2
S007;001;2
S010;001;3
S010;002;3
S010;003;6
S010;004;6
S011;001;2
S011;002;4
S011;003;4
S011;004;4
S012;001;1
S012;002;3
S012;003;3
S012;004;5
S012;005;5
S012;006;6
S012;007;6
S013;001;1
S013;002;1
S013;003;2
S013;004;3
S013;005;4
S013;006;6
S013;007;6
S014;001;1
S014;002;2
S014;003;2
S014;004;3
S014;005;4
S014;006;4
S014;007;5
S014;008;5
S014;009;6
S014;010;6
S015;001;1
S015;002;2
S015;003;3
S015;004;4
S015;005;5
S015;006;6
S016;001;1
S016;002;2
S016;003;2
S016;004;5
S016;005;6
S017;001;1
S017;002;1
S017;003;6
S017;004;6
S017;005;4
S018;001;1
S018;002;2
S018;003;4
S018;004;5
S018;005;5
S018;006;6
S018;007;6
S019;001;1
S019;002;3
S019;003;6
S019;004;4
S019;005;5
S019;006;5
S019;007;6
S020;001;1
S020;002;2
S020;003;3
S020;004;4
S020;005;5
S020;006;6
S021;001;2
S021;002;1
S021;003;2
S021;004;2
S021;005;3
S021;006;3
S021;007;4
S021;008;5
S022;001;1
S022;002;1
S022;003;6
S022;004;1
S022;005;6
S023;001;1
S023;002;3
S023;003;4
S023;004;5
S024;001;6
S024;002;4
S024;003;4
S024;004;5
S025;001;2
S025;002;6
S025;003;3
S025;004;4
S026;001;1
S026;002;1
S026;003;2
S026;004;2
S026;005;3
S026;006;3
S026;007;4
S026;008;4
S026;009;5
S026;010;5
S026;011;6
S026;012;6
S027;001;1
S027;002;1
S027;003;5
S027;004;1
S027;005;3
S027;006;6
S027;007;3
S027;008;4
S027;009;4
S027;010;5
S027;011;5
S027;012;5
S027;013;6
S027;014;6
S028;001;1
S028;002;1
S028;003;2
S028;004;2
S028;005;3
S028;006;4
S028;007;4
S028;008;5
S028;009;5
S028;010;6
S028;011;6
S029;001;3
S029;002;1
S029;003;2
S029;004;2
S029;005;4
S029;006;1
S029;007;6
S029;008;6
S030;001;1
S030;002;1
S030;003;1
S030;004;2
S030;005;2
S030;006;3
S030;007;3
S030;008;4
S030;009;4
S030;010;4
S030;011;5
S030;012;5
S030;013;5
S030;014;6
S030;015;6
S030;016;6
S030;017;6
S031;001;2
S031;002;2
S031;003;3
S031;004;3
S031;005;3
S031;006;4
S031;007;4
S031;008;4
S031;009;5
S031;010;5
S031;011;5
S031;012;4
S031;013;6
S032;001;4
S032;002;4
S032;003;4
S032;004;4
S032;005;4
S032;006;2
S033;001;4
S033;002;2
