subject;file;emotion
S001;001;1
S001;002;1
S001;003;1
S001;004;2
S001;005;2
S001;006;2
S001;007;3
S002;001;2
S002;002;2
S002;003;2
S002;004;2
S002;005;2
S002;006;2
S002;007;2
S002;008;2
S002;009;3
S003;001;2
S003;002;2
S003;003;2
S003;004;2
S003;005;2
S003;006;2
S003;007;2
S003;008;2
S003;009;2
S003;010;2
S004;001;1
S004;002;1
S004;003;1
S004;004;2
S004;005;2
S004;006;3
S004;007;3
S004;008;3
S004;009;3
S004;010;3
S005;001;1
S005;002;2
S005;003;3
S005;004;3
S006;001;1
S006;002;1
S006;003;3
S006;004;3
S006;005;3
S006;006;3
S006;007;3
S007;001;2
S007;002;3
S008;001;1
S008;002;1
S008;003;1
S008;004;1
S008;005;1
S008;006;1
S008;007;1
S008;008;1
S008;009;1
S008;010;1
S008;011;1
S008;012;1
S008;013;1
S008;014;1
S008;015;2
S008;016;2
S008;017;2
S008;018;3
S008;019;3
S008;020;3
S008;021;3
S008;022;3
S009;001;1
S009;002;1
S009;003;1
S009;004;2
S009;005;2
S009;006;3
S010;001;2
S010;002;3
S010;003;3
S010;004;3
S010;005;3
S010;006;3
S011;001;1
S011;002;1
S011;003;1
S011;004;1
S011;005;1
S011;006;1
S011;007;1
S011;008;1
S011;009;1
S011;010;1
S011;011;1
S011;012;1
S011;013;1
S011;014;1
S011;015;1
S011;016;1
S011;017;1
S011;018;1
S011;019;1
S011;020;1
S011;021;1
S011;022;1
S011;023;2
S011;024;2
S011;025;2
S011;026;2
S011;027;2
S011;028;2
S011;029;2
S011;030;2
S011;031;2
S011;032;2
S011;033;2
S011;034;3
S011;035;3
S011;036;3
S011;037;3
S011;038;3
S011;039;3
S012;001;1
S012;002;1
S012;003;1
S012;004;1
S012;005;1
S012;006;1
S012;007;1
S012;008;1
S012;009;1
S012;010;1
S012;011;2
S012;012;2
S012;013;2
S012;014;2
S012;015;3
S012;016;3
S012;017;3
S012;018;3
S012;019;3
S013;001;1
S013;002;3
S014;001;1
S014;002;1
S014;003;3
S014;004;3
S015;001;1
S015;002;1
S015;003;1
S015;004;1
S015;005;1
S015;006;1
S015;007;1
S015;008;1
S015;009;1
S015;010;2
S015;011;2
S015;012;2
S015;013;2
S016;001;2
S016;002;3
S016;003;3
S016;004;3
